title,introduce,director,link
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰,https://movie.douban.com/subject/1780330/
小鞋子,奔跑的孩子是天使。,马基德·马基迪,https://movie.douban.com/subject/1303021/
勇敢的心,史诗大片的典范。,梅尔·吉布森,https://movie.douban.com/subject/1294639/
剪刀手爱德华,浪漫忧郁的成人童话。,Tim,https://movie.douban.com/subject/1292370/
音乐之声,用音乐化解仇恨，让歌声串起美好。,Robert,https://movie.douban.com/subject/1294408/
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益,https://movie.douban.com/subject/21937452/
低俗小说,故事的高级讲法。,昆汀·塔伦蒂诺,https://movie.douban.com/subject/1291832/
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,大卫·芬奇,https://movie.douban.com/subject/1485260/
黑客帝国,视觉革命。,安迪·沃卓斯基,https://movie.douban.com/subject/1291843/
沉默的羔羊,安东尼·霍普金斯的顶级表演。,乔纳森·戴米,https://movie.douban.com/subject/1293544/
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎,https://movie.douban.com/subject/2149806/
拯救大兵瑞恩,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1292849/
西西里的美丽传说,美丽无罪。,朱塞佩·托纳多雷,https://movie.douban.com/subject/1292402/
蝴蝶效应,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯,https://movie.douban.com/subject/1292343/
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特,https://movie.douban.com/subject/3072124/
春光乍泄,爱情纠缠，男女一致。,王家卫,https://movie.douban.com/subject/1292679/
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,姜文,https://movie.douban.com/subject/3742360/
心灵捕手,人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特,https://movie.douban.com/subject/1292656/
大闹天宫,经典之作，历久弥新。,万籁鸣,https://movie.douban.com/subject/1418019/
幽灵公主,人与自然的战争史诗。,宫崎骏,https://movie.douban.com/subject/1297359/
阳光灿烂的日子,一场华丽的意淫。,姜文,https://movie.douban.com/subject/1291875/
第六感,深入内心的恐怖，出人意料的结局。,M·奈特·沙马兰,https://movie.douban.com/subject/1297630/
重庆森林,寂寞没有期限。,王家卫,https://movie.douban.com/subject/1291999/
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,蒂姆·波顿,https://movie.douban.com/subject/1291545/
射雕英雄传之东成西就,百看不厌。 ,刘镇伟,https://movie.douban.com/subject/1316510/
禁闭岛,昔日翩翩少年，今日大腹便便。,Martin,https://movie.douban.com/subject/2334904/
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,陈可辛,https://movie.douban.com/subject/1305164/
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,姜炯哲,https://movie.douban.com/subject/4917726/
一一,我们都曾经是一一。,杨德昌,https://movie.douban.com/subject/1292434/
狩猎,人言可畏。,托马斯·温特伯格,https://movie.douban.com/subject/6985810/
致命ID,最不可能的那个人永远是最可能的。,James,https://movie.douban.com/subject/1297192/
上帝之城,被上帝抛弃了的上帝之城。,Kátia,https://movie.douban.com/subject/1292208/
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇,https://movie.douban.com/subject/1293172/
告白,没有一人完全善，也没有一人完全恶。,中岛哲也,https://movie.douban.com/subject/4268598/
看不见的客人,你以为你以为的就是你以为的。,奥里奥尔·保罗,https://movie.douban.com/subject/26580232/
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,韦斯·安德森,https://movie.douban.com/subject/11525673/
断背山,每个人心中都有一座断背山。,李安,https://movie.douban.com/subject/1418834/
加勒比海盗,约翰尼·德普的独角戏。,戈尔·维宾斯基,https://movie.douban.com/subject/1298070/
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1305487/
哈利·波特与魔法石,童话世界的开端。,Chris,https://movie.douban.com/subject/1295038/
摩登时代,大时代中的人生，小人物的悲喜。,查理·卓别林,https://movie.douban.com/subject/1294371/
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,理查德·林克莱特,https://movie.douban.com/subject/1296339/
阿凡达,绝对意义上的美轮美奂。,詹姆斯·卡梅隆,https://movie.douban.com/subject/1652587/
风之谷,动画片的圣经。,宫崎骏,https://movie.douban.com/subject/1291585/
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特,https://movie.douban.com/subject/1291990/
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫门,https://movie.douban.com/subject/3008247/
侧耳倾听,少女情怀总是诗。,近藤喜文,https://movie.douban.com/subject/1297052/
消失的爱人,年度最佳date movie。,大卫·芬奇,https://movie.douban.com/subject/21318488/
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,高畑勋,https://movie.douban.com/subject/1293318/
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶,https://movie.douban.com/subject/5322596/
驯龙高手,和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯,https://movie.douban.com/subject/2353023/
倩女幽魂,两张绝世的脸。 ,程小东,https://movie.douban.com/subject/1297447/
恐怖直播,恐怖分子的“秋菊打官司”。,金秉祐,https://movie.douban.com/subject/21360417/
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北野武,https://movie.douban.com/subject/1293359/
红辣椒,梦的勾结。,今敏,https://movie.douban.com/subject/1865703/
幸福终点站,有时候幸福需要等一等。 ,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1292274/
海洋,大海啊，不全是水。,雅克·贝汉,https://movie.douban.com/subject/3443389/
七武士,时代悲歌。,黑泽明,https://movie.douban.com/subject/1295399/
岁月神偷,岁月流逝，来日可追。,罗启锐,https://movie.douban.com/subject/3792799/
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,皮艾尔·柯芬,https://movie.douban.com/subject/3287562/
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌,https://movie.douban.com/subject/4202302/
电锯惊魂,真相就在眼前。,詹姆斯·温,https://movie.douban.com/subject/1417598/
谍影重重3,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯,https://movie.douban.com/subject/1578507/
杀人回忆,关于连环杀人悬案的集体回忆。,奉俊昊,https://movie.douban.com/subject/1300299/
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔,https://movie.douban.com/subject/2209573/
真爱至上,爱，是个动词。,理查德·柯蒂斯,https://movie.douban.com/subject/1292401/
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森,https://movie.douban.com/subject/1291870/
燃情岁月,传奇，不是每个人都可以拥有。,爱德华·兹威克,https://movie.douban.com/subject/1295865/
东邪西毒,电影诗。,王家卫,https://movie.douban.com/subject/1292328/
记忆碎片,一个针管引发的血案。,克里斯托弗·诺兰,https://movie.douban.com/subject/1304447/
